player_api_id,player_name,team_api_id,team_fifa_api_id,team_name,team_long_name,Country,League,season,PiyasaDegeri
505942,Aaron Appindangoye,8613,1898,Boavista FC,Boavista FC,Portugal,Portugal Liga ZON Sagres,2014/2015,600000
155782,Aaron Cresswell,8654,19,West Ham United,West Ham United,England,England Premier League,2015/2016,12000000
162549,Aaron Doran,8066,620,Inverness Caledonian Thistle,Inverness Caledonian Thistle,Scotland,Scotland Premier League,2014/2015,400000
27316,Aaron Hunt,9790,28,Hamburger SV,Hamburger SV,Germany,Germany 1. Bundesliga,2015/2016,3000000
564793,Aaron Kuhl,9938,181,Dundee United,Dundee United,Scotland,Scotland Premier League,2015/2016,150000
30895,Aaron Lennon,8668,7,Everton,Everton,England,England Premier League,2015/2016,6000000
528212,Aaron Lennox,8485,77,Aberdeen,Aberdeen,Scotland,Scotland Premier League,2015/2016,50000
101042,Aaron Meijers,10217,650,ADO Den Haag,ADO Den Haag,Netherlands,Netherlands Eredivisie,2015/2016,1000000
40719,Aaron Niguez,10264,1896,SC Braga,SC Braga,Portugal,Portugal Liga ZON Sagres,2015/2016,500000
75489,Aaron Ramsey,9825,1,Arsenal,Arsenal,England,England Premier League,2015/2016,35000000
597948,Aaron Splaine,8597,82,Kilmarnock,Kilmarnock,Scotland,Scotland Premier League,2015/2016,75000
167027,Abdelaziz Barrada,8592,219,Olympique de Marseille,Olympique de Marseille,France,France Ligue 1,2015/2016,2500000
128456,Abdelhamid El Kaoutari,9837,379,Stade de Reims,Stade de Reims,France,France Ligue 1,2015/2016,2500000
42664,Abdelkader Ghezzal,10167,50,Parma,Parma,Italy,Italy Serie A,2014/2015,200000
467485,Abdelmalek El Hasnaoui,6413,1914,PEC Zwolle,PEC Zwolle,Netherlands,Netherlands Eredivisie,2015/2016,200000
563215,Abdou Diallo,10000,15005,SV Zulte-Waregem,SV Zulte-Waregem,Belgium,Belgium Jupiler League,2015/2016,1200000
41093,Abdou Traore,9827,59,Girondins de Bordeaux,Girondins de Bordeaux,France,France Ligue 1,2015/2016,800000
564712,Abdoul Ba,8588,64,RC Lens,RC Lens,France,France Ligue 1,2014/2015,400000
67334,Abdoul Karim Yoda,8305,1860,Getafe CF,Getafe CF,Spain,Spain LIGA BBVA,2015/2016,1500000
173955,Abdoul Razzagui Camara,8121,1530,Angers SCO,Angers SCO,France,France Ligue 1,2015/2016,1250000
39562,Abdoulay Konko,8543,46,Lazio,Lazio,Italy,Italy Serie A,2015/2016,900000
191784,Abdoulaye Ba,8370,480,Rayo Vallecano,Rayo Vallecano,Spain,Spain LIGA BBVA,2014/2015,2000000
201915,Abdoulaye Diaby,8342,231,Club Brugge KV,Club Brugge KV,Belgium,Belgium Jupiler League,2015/2016,6000000
189181,Abdoulaye Diallo,9851,74,Stade Rennais FC,Stade Rennais FC,France,France Ligue 1,2015/2016,1000000
194479,Abdoulaye Diallo Sadio,7794,58,SC Bastia,SC Bastia,France,France Ligue 1,2015/2016,1250000
352887,Abdoulaye Doucoure,7878,110832,Granada CF,Granada CF,Spain,Spain LIGA BBVA,2015/2016,6000000
