height (cm),weight (kg),Age,en_guncel_kayit,matches_played,position_confidence,overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,gk_score,defense_score,attack_score,midfield_score,goals,assists,yellow_cards,red_cards,buildUpPlaySpeed,buildUpPlayDribbling,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,position_CAM,position_CB,position_CM,position_GK,position_LAM,position_LB,position_LCB,position_LCM,position_LF,position_LM,position_LST,position_LW,position_LWB,position_RAM,position_RB,position_RCB,position_RCM,position_RF,position_RM,position_RST,position_RW,position_RWB,position_SS,position_ST,buildUpPlaySpeedClass_Balanced,buildUpPlaySpeedClass_Fast,buildUpPlaySpeedClass_Slow,buildUpPlayDribblingClass_Little,buildUpPlayDribblingClass_Lots,buildUpPlayDribblingClass_Normal,buildUpPlayPassingClass_Long,buildUpPlayPassingClass_Mixed,buildUpPlayPassingClass_Short,buildUpPlayPositioningClass_Free Form,buildUpPlayPositioningClass_Organised,chanceCreationPassingClass_Normal,chanceCreationPassingClass_Risky,chanceCreationPassingClass_Safe,chanceCreationCrossingClass_Little,chanceCreationCrossingClass_Lots,chanceCreationCrossingClass_Normal,chanceCreationShootingClass_Little,chanceCreationShootingClass_Lots,chanceCreationShootingClass_Normal,chanceCreationPositioningClass_Free Form,chanceCreationPositioningClass_Organised,defencePressureClass_Deep,defencePressureClass_High,defencePressureClass_Medium,defenceAggressionClass_Contain,defenceAggressionClass_Double,defenceAggressionClass_Press,defenceTeamWidthClass_Narrow,defenceTeamWidthClass_Normal,defenceTeamWidthClass_Wide,defenceDefenderLineClass_Cover,defenceDefenderLineClass_Offside Trap,Age_Squared,Is_Over_30,Gelisim_Farki,Age_Group_U21,Age_Group_Peak_22_27,Age_Group_Deneyimli_28_32,Age_Group_Veteran_33_Plus,Age_Decay_Factor,Age_Decay_Adjusted_Rating
175,72,27,2016,35,4,75.0,77.0,59,47.0,66,78,31,73.0,33,43,73,77.0,73,70,75,79,80,80,76,86,71,71,80,82,67,72,54,76,79,76,8,6,8,12,13,9,78,56,75,0,1,10,0,63,37,54,60,48,38,35,44,54,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,729,0,2.0,0,1,0,0,1.0,75.0
183,70,32,2016,25,4,77.0,77.0,75,58.0,68,75,56,78.0,69,54,70,74.0,78,77,73,74,68,79,77,79,72,70,75,69,66,68,60,77,77,80,13,7,7,6,7,8,76,65,72,0,3,1,0,48,41,49,51,59,49,44,37,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1024,1,0.0,0,0,1,0,0.8,61.6
185,78,28,2016,35,3,76.0,77.0,33,40.0,73,67,38,53.0,45,22,67,66.0,79,70,59,79,61,68,72,72,69,41,79,79,37,45,35,80,80,79,9,10,10,15,12,11,79,46,61,2,0,11,0,66,66,36,60,34,64,44,58,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,784,0,1.0,0,0,1,0,0.96,72.96
175,64,34,2016,6,1,79.0,79.0,79,67.0,69,87,76,76.0,82,79,85,83.0,46,41,66,81,83,78,65,67,62,75,73,83,73,80,85,71,72,70,14,13,13,10,11,12,74,74,84,0,1,1,0,59,51,30,28,44,46,51,44,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1156,1,0.0,0,0,0,1,0.72,56.879999999999995
183,75,23,2016,20,2,67.0,72.0,47,72.0,65,55,65,67.0,55,43,48,65.0,75,76,67,59,59,72,65,71,74,60,56,19,67,48,72,15,13,14,6,11,9,15,9,10,15,69,54,7,4,6,0,54,43,65,48,49,45,53,56,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,529,0,5.0,0,1,0,0,1.0,67.0
178,73,24,2016,7,1,72.0,77.0,68,75.0,60,67,70,72.0,61,63,62,73.0,80,77,73,71,82,78,62,68,78,72,73,27,74,62,67,25,31,36,9,8,12,13,7,10,30,74,66,0,0,0,0,58,52,38,30,69,56,36,57,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,576,0,5.0,0,1,0,0,1.0,72.0
188,71,25,2016,9,1,75.0,80.0,68,69.0,79,77,66,74.0,66,47,75,75.0,67,68,75,74,62,79,78,79,76,77,73,75,73,77,57,72,73,70,9,10,15,11,12,11,73,72,76,1,0,5,0,43,43,51,59,50,55,47,45,49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,625,0,5.0,0,1,0,0,1.0,75.0
168,65,27,2016,24,3,73.0,75.0,55,53.0,51,74,43,77.0,53,60,71,75.0,79,74,82,76,89,61,71,84,63,53,81,72,62,67,45,64,76,73,12,12,10,14,15,13,71,55,72,1,3,6,0,58,45,49,47,54,46,41,39,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,729,0,2.0,0,1,0,0,1.0,73.0
183,79,32,2015,22,1,62.0,62.0,62,27.0,61,58,12,61.0,63,39,57,64.0,71,66,74,57,69,57,71,72,71,49,61,58,29,43,43,64,64,58,9,15,16,8,11,12,61,31,56,0,0,0,0,60,58,53,55,49,45,48,42,53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1024,1,0.0,0,0,1,0,0.8,49.6
183,75,22,2016,25,2,74.0,82.0,70,63.0,49,74,62,80.0,71,67,64,80.0,81,81,80,71,63,70,50,73,61,71,51,38,70,72,65,27,36,33,14,15,10,13,12,13,34,67,73,2,4,6,0,34,54,33,68,51,53,58,59,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,484,0,8.0,0,1,0,0,1.0,74.0
188,87,33,2016,23,4,80.0,80.0,61,48.0,83,75,44,60.0,51,60,75,72.0,53,57,57,78,64,67,66,63,82,54,73,80,41,62,57,80,84,86,14,8,10,6,13,10,82,50,71,1,0,6,0,68,45,57,69,66,50,66,46,55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1089,1,0.0,0,0,0,1,0.76,60.8
185,81,27,2015,27,3,56.0,59.0,50,52.0,48,65,35,59.0,48,42,57,58.0,60,61,43,48,51,57,54,63,72,45,45,43,50,53,47,38,51,50,16,7,14,16,6,12,46,48,58,0,0,0,0,41,40,59,41,44,54,52,47,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,729,0,3.0,0,1,0,0,1.0,56.0
165,65,28,2016,18,2,75.0,76.0,68,67.0,69,74,60,80.0,77,62,66,80.0,88,76,93,74,95,75,92,77,48,73,71,28,69,70,63,37,39,37,13,11,8,8,8,10,35,68,73,4,4,1,0,60,43,53,49,40,44,55,62,47,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,784,0,1.0,0,0,1,0,0.96,72.0
175,68,24,2016,6,1,65.0,72.0,53,63.0,49,77,42,62.0,46,40,67,70.0,64,50,76,51,75,56,75,46,58,66,43,63,60,69,65,55,59,60,6,14,8,14,11,11,59,55,71,0,0,0,0,62,48,52,66,59,58,51,58,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,576,0,7.0,0,1,0,0,1.0,65.0
183,72,24,2016,13,3,64.0,69.0,66,36.0,56,64,42,62.0,59,30,59,63.0,83,80,58,55,74,66,59,64,57,51,58,53,49,43,44,66,64,65,13,12,11,14,13,13,62,48,57,0,0,0,0,68,55,66,66,51,49,29,35,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,576,0,5.0,0,1,0,0,1.0,64.0
183,76,30,2016,4,1,71.0,71.0,72,16.0,60,71,25,65.0,73,69,70,69.0,76,74,69,71,67,61,77,70,71,17,79,72,59,63,37,69,71,70,10,16,16,6,13,12,71,40,68,0,0,0,0,62,45,52,42,50,62,45,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,900,0,0.0,0,0,1,0,0.88,62.48
185,75,25,2016,26,4,74.0,80.0,70,22.0,67,73,26,63.0,59,34,66,72.0,74,77,71,69,56,47,71,83,77,43,81,76,57,58,49,71,77,76,14,6,10,16,7,11,75,38,67,0,0,6,1,53,53,53,53,52,60,42,48,59,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,625,0,6.0,0,1,0,0,1.0,74.0
173,70,21,2016,1,0,67.0,79.0,62,68.0,49,65,67,72.0,51,47,57,67.0,79,78,78,66,78,62,61,54,49,59,30,25,65,58,64,20,24,23,13,8,7,9,11,10,23,66,62,0,0,1,0,42,56,52,62,58,47,44,41,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,441,0,12.0,1,0,0,0,1.0,67.0
183,70,27,2016,24,4,81.0,83.0,78,38.0,72,74,59,75.0,69,35,68,76.0,80,80,79,78,77,69,70,91,69,56,84,82,64,62,45,81,83,87,6,7,7,12,7,8,83,58,70,1,0,8,0,38,42,44,49,44,40,54,53,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,729,0,2.0,0,1,0,0,1.0,81.0
191,76,25,2016,8,2,76.0,81.0,69,76.0,82,73,77,74.0,70,45,67,75.0,77,78,78,75,55,74,70,78,77,63,71,33,79,72,84,23,32,28,7,11,13,14,10,11,29,77,72,0,0,0,0,69,55,53,65,66,54,60,57,54,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,625,0,5.0,0,1,0,0,1.0,76.0
183,80,24,2016,17,3,77.0,81.0,52,59.0,74,79,52,72.0,61,74,80,77.0,64,66,66,74,57,86,86,79,81,75,87,80,66,68,66,63,81,74,13,14,16,12,12,13,75,66,76,1,3,7,0,50,57,46,61,41,63,52,60,63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,576,0,4.0,0,1,0,0,1.0,77.0
196,90,34,2016,34,4,86.0,86.0,19,12.0,19,35,17,12.0,13,19,33,22.0,45,52,49,86,34,21,51,32,65,11,17,23,13,17,23,11,13,12,83,84,75,84,85,82,15,16,27,0,0,0,0,59,51,30,28,44,46,51,44,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1156,1,0.0,0,0,0,1,0.72,61.919999999999995
